0 628.0 15 628.0 30 628.0 45 628.0 60 628.0 75 628.0 90 628.0 105 664.0 120 664.0 135 664.0 150 664.0 165 664.0 180 664.0 195 669.0 210 669.0 225 669.0 240 673.0 255 677.0 270 677.0 285 720.0 300 720.0 315 720.0 330 720.0 345 720.0 360 720.0 375 720.0 390 720.0 405 720.0 420 764.0 435 764.0 450 764.0 465 764.0 480 764.0 495 764.0 510 768.0 525 768.0 540 768.0 555 768.0 570 768.0 585 794.0 600 794.0 615 794.0 630 794.0 645 794.0 660 794.0 675 794.0 690 794.0 705 794.0 720 794.0 735 794.0 750 794.0 765 794.0 780 794.0 795 794.0 810 794.0 825 794.0 840 794.0 855 794.0 870 794.0 885 794.0 900 794.0 915 794.0 930 794.0 945 794.0 960 794.0 975 794.0 990 822.0 1005 822.0 1020 822.0 1035 822.0 1050 822.0 1065 822.0 1080 822.0 1095 822.0 1110 822.0 1125 822.0 1140 822.0 1155 822.0 1170 822.0 1185 822.0 1200 822.0 1215 822.0 1230 822.0 1245 822.0 1260 822.0 1275 822.0 1290 822.0 1305 822.0 1320 822.0 
0 704.0 15 704.0 30 710.0 45 710.0 60 710.0 75 710.0 90 710.0 105 710.0 120 710.0 135 717.0 150 745.0 165 745.0 180 745.0 195 773.0 210 773.0 225 773.0 240 773.0 255 784.0 270 784.0 285 784.0 300 784.0 315 784.0 330 784.0 345 784.0 360 784.0 375 784.0 390 784.0 405 784.0 420 784.0 435 784.0 450 784.0 465 784.0 480 784.0 495 784.0 510 784.0 525 784.0 540 787.0 555 787.0 570 796.0 585 796.0 600 796.0 615 796.0 630 796.0 645 796.0 660 796.0 675 796.0 690 796.0 705 796.0 720 796.0 735 796.0 750 796.0 765 796.0 780 796.0 795 796.0 810 796.0 825 796.0 840 796.0 855 796.0 870 796.0 885 821.0 900 821.0 915 821.0 930 821.0 945 821.0 960 821.0 975 821.0 990 821.0 1005 821.0 1020 821.0 1035 821.0 1050 821.0 1065 821.0 1080 821.0 1095 821.0 1110 821.0 1125 821.0 1140 821.0 1155 821.0 1170 821.0 1185 821.0 1200 821.0 1215 821.0 1230 821.0 1245 821.0 1260 821.0 1275 821.0 1290 821.0 1305 821.0 1320 821.0 
0 694.0 15 694.0 30 694.0 45 694.0 60 694.0 75 694.0 90 703.0 105 703.0 120 713.0 135 713.0 150 713.0 165 719.0 180 746.0 195 746.0 210 746.0 225 746.0 240 746.0 255 746.0 270 746.0 285 746.0 300 746.0 315 746.0 330 762.0 345 762.0 360 764.0 375 775.0 390 775.0 405 794.0 420 794.0 435 794.0 450 794.0 465 794.0 480 794.0 495 794.0 510 794.0 525 799.0 540 799.0 555 799.0 570 799.0 585 799.0 600 799.0 615 799.0 630 799.0 645 799.0 660 799.0 675 799.0 690 799.0 705 799.0 720 812.0 735 812.0 750 812.0 765 812.0 780 812.0 795 812.0 810 812.0 825 812.0 840 812.0 855 812.0 870 812.0 885 812.0 900 812.0 915 812.0 930 812.0 945 812.0 960 812.0 975 812.0 990 812.0 1005 812.0 1020 812.0 1035 812.0 1050 812.0 1065 812.0 1080 812.0 1095 822.0 1110 822.0 1125 822.0 1140 822.0 1155 822.0 1170 822.0 1185 822.0 1200 822.0 1215 822.0 1230 822.0 1245 822.0 1260 822.0 1275 822.0 1290 822.0 1305 822.0 1320 822.0 
0 626.0 15 626.0 30 626.0 45 638.0 60 668.0 75 668.0 90 668.0 105 710.0 120 710.0 135 710.0 150 710.0 165 710.0 180 710.0 195 710.0 210 740.0 225 740.0 240 740.0 255 740.0 270 740.0 285 740.0 300 740.0 315 740.0 330 740.0 345 740.0 360 740.0 375 740.0 390 740.0 405 740.0 420 740.0 435 740.0 450 740.0 465 740.0 480 740.0 495 740.0 510 740.0 525 740.0 540 740.0 555 740.0 570 744.0 585 744.0 600 758.0 615 758.0 630 758.0 645 758.0 660 758.0 675 826.0 690 826.0 705 826.0 720 826.0 735 826.0 750 826.0 765 826.0 780 826.0 795 826.0 810 826.0 825 826.0 840 826.0 855 826.0 870 826.0 885 826.0 900 826.0 915 826.0 930 826.0 945 826.0 960 826.0 975 826.0 990 826.0 1005 826.0 1020 826.0 1035 826.0 1050 826.0 1065 826.0 1080 826.0 1095 826.0 1110 826.0 1125 826.0 1140 826.0 1155 826.0 1170 826.0 1185 826.0 1200 826.0 1215 826.0 1230 826.0 1245 826.0 1260 826.0 1275 826.0 1290 826.0 1305 826.0 1320 826.0 
0 634.0 15 672.0 30 672.0 45 672.0 60 672.0 75 672.0 90 672.0 105 672.0 120 674.0 135 674.0 150 734.0 165 734.0 180 734.0 195 734.0 210 734.0 225 734.0 240 734.0 255 734.0 270 734.0 285 734.0 300 751.0 315 791.0 330 791.0 345 791.0 360 791.0 375 791.0 390 791.0 405 791.0 420 791.0 435 791.0 450 791.0 465 791.0 480 791.0 495 791.0 510 791.0 525 791.0 540 791.0 555 791.0 570 791.0 585 791.0 600 791.0 615 791.0 630 791.0 645 801.0 660 801.0 675 801.0 690 801.0 705 801.0 720 801.0 735 808.0 750 808.0 765 808.0 780 808.0 795 808.0 810 808.0 825 808.0 840 808.0 855 808.0 870 808.0 885 808.0 900 808.0 915 808.0 930 808.0 945 808.0 960 808.0 975 808.0 990 808.0 1005 808.0 1020 808.0 1035 808.0 1050 808.0 1065 808.0 1080 808.0 1095 808.0 1110 808.0 1125 808.0 1140 808.0 1155 808.0 1170 808.0 1185 808.0 1200 808.0 1215 808.0 1230 808.0 1245 808.0 1260 808.0 1275 808.0 1290 808.0 1305 808.0 1320 808.0 
0 692.0 15 745.0 30 745.0 45 745.0 60 745.0 75 745.0 90 745.0 105 745.0 120 745.0 135 745.0 150 745.0 165 745.0 180 745.0 195 745.0 210 745.0 225 745.0 240 745.0 255 745.0 270 745.0 285 745.0 300 745.0 315 745.0 330 745.0 345 745.0 360 745.0 375 745.0 390 745.0 405 745.0 420 745.0 435 745.0 450 745.0 465 745.0 480 745.0 495 745.0 510 745.0 525 753.0 540 753.0 555 753.0 570 753.0 585 753.0 600 753.0 615 753.0 630 753.0 645 753.0 660 753.0 675 753.0 690 753.0 705 753.0 720 795.0 735 795.0 750 795.0 765 800.0 780 800.0 795 800.0 810 800.0 825 800.0 840 800.0 855 800.0 870 800.0 885 800.0 900 800.0 915 800.0 930 800.0 945 800.0 960 800.0 975 800.0 990 800.0 1005 800.0 1020 800.0 1035 800.0 1050 800.0 1065 800.0 1080 800.0 1095 800.0 1110 800.0 1125 800.0 1140 800.0 1155 800.0 1170 800.0 1185 800.0 1200 800.0 1215 800.0 1230 800.0 1245 800.0 1260 800.0 1275 800.0 1290 829.0 1305 829.0 1320 829.0 
0 706.0 15 706.0 30 706.0 45 706.0 60 706.0 75 706.0 90 717.0 105 717.0 120 728.0 135 728.0 150 728.0 165 728.0 180 728.0 195 728.0 210 767.0 225 767.0 240 767.0 255 767.0 270 767.0 285 767.0 300 767.0 315 767.0 330 767.0 345 767.0 360 767.0 375 767.0 390 767.0 405 767.0 420 773.0 435 773.0 450 773.0 465 773.0 480 773.0 495 773.0 510 778.0 525 778.0 540 778.0 555 827.0 570 827.0 585 827.0 600 827.0 615 827.0 630 827.0 645 827.0 660 827.0 675 827.0 690 827.0 705 827.0 720 827.0 735 827.0 750 827.0 765 827.0 780 827.0 795 827.0 810 827.0 825 827.0 840 827.0 855 827.0 870 827.0 885 827.0 900 827.0 915 827.0 930 827.0 945 827.0 960 827.0 975 827.0 990 827.0 1005 827.0 1020 827.0 1035 827.0 1050 827.0 1065 827.0 1080 827.0 1095 827.0 1110 827.0 1125 827.0 1140 827.0 1155 827.0 1170 827.0 1185 827.0 1200 827.0 1215 827.0 1230 827.0 1245 827.0 1260 827.0 1275 827.0 
0 692.0 15 692.0 30 695.0 45 735.0 60 735.0 75 740.0 90 740.0 105 740.0 120 740.0 135 740.0 150 740.0 165 740.0 180 757.0 195 757.0 210 757.0 225 757.0 240 757.0 255 757.0 270 757.0 285 757.0 300 757.0 315 757.0 330 757.0 345 757.0 360 757.0 375 757.0 390 757.0 405 757.0 420 757.0 435 757.0 450 757.0 465 757.0 480 757.0 495 757.0 510 757.0 525 767.0 540 767.0 555 767.0 570 767.0 585 767.0 600 767.0 615 767.0 630 767.0 645 767.0 660 767.0 675 768.0 690 768.0 705 775.0 720 775.0 735 775.0 750 775.0 765 775.0 780 775.0 795 775.0 810 775.0 825 775.0 840 775.0 855 777.0 870 777.0 885 777.0 900 777.0 915 777.0 930 777.0 945 777.0 960 784.0 975 784.0 990 784.0 1005 784.0 1020 791.0 1035 791.0 1050 791.0 1065 791.0 1080 805.0 1095 805.0 1110 805.0 1125 805.0 1140 805.0 1155 805.0 1170 805.0 1185 805.0 1200 805.0 1215 805.0 1230 805.0 1245 805.0 1260 805.0 1275 805.0 1290 813.0 1305 813.0 1320 813.0 
0 674.0 15 674.0 30 674.0 45 736.0 60 736.0 75 736.0 90 736.0 105 736.0 120 736.0 135 736.0 150 737.0 165 737.0 180 737.0 195 737.0 210 737.0 225 737.0 240 737.0 255 752.0 270 752.0 285 752.0 300 752.0 315 752.0 330 752.0 345 766.0 360 766.0 375 766.0 390 766.0 405 771.0 420 771.0 435 771.0 450 771.0 465 772.0 480 772.0 495 772.0 510 775.0 525 775.0 540 775.0 555 775.0 570 775.0 585 786.0 600 786.0 615 786.0 630 786.0 645 786.0 660 786.0 675 786.0 690 786.0 705 786.0 720 786.0 735 786.0 750 786.0 765 786.0 780 786.0 795 786.0 810 786.0 825 786.0 840 786.0 855 786.0 870 786.0 885 795.0 900 795.0 915 795.0 930 795.0 945 806.0 960 806.0 975 806.0 990 806.0 1005 806.0 1020 806.0 1035 806.0 1050 806.0 1065 806.0 1080 806.0 1095 806.0 1110 806.0 1125 806.0 1140 806.0 1155 806.0 1170 806.0 1185 806.0 1200 806.0 1215 806.0 1230 806.0 1245 806.0 1260 806.0 1275 806.0 1290 806.0 1305 806.0 1320 806.0 
0 703.0 15 703.0 30 724.0 45 724.0 60 724.0 75 724.0 90 724.0 105 724.0 120 724.0 135 724.0 150 724.0 165 724.0 180 724.0 195 724.0 210 724.0 225 732.0 240 732.0 255 732.0 270 732.0 285 768.0 300 785.0 315 785.0 330 785.0 345 785.0 360 785.0 375 785.0 390 785.0 405 785.0 420 785.0 435 785.0 450 785.0 465 785.0 480 785.0 495 785.0 510 785.0 525 785.0 540 785.0 555 785.0 570 785.0 585 785.0 600 785.0 615 785.0 630 785.0 645 785.0 660 785.0 675 786.0 690 786.0 705 786.0 720 786.0 735 786.0 750 786.0 765 786.0 780 786.0 795 786.0 810 786.0 825 786.0 840 786.0 855 786.0 870 786.0 885 786.0 900 786.0 915 786.0 930 786.0 945 786.0 960 786.0 975 786.0 990 786.0 1005 786.0 1020 786.0 1035 786.0 1050 786.0 1065 786.0 1080 786.0 1095 786.0 1110 786.0 1125 786.0 1140 786.0 1155 786.0 1170 786.0 1185 786.0 1200 786.0 1215 797.0 1230 797.0 1245 797.0 1260 797.0 1275 797.0 1290 802.0 1305 802.0 1320 802.0 
