0 643.0 15 643.0 30 650.0 45 650.0 60 657.0 75 657.0 90 657.0 105 660.0 120 660.0 135 660.0 150 713.0 165 724.0 180 724.0 195 724.0 210 724.0 225 724.0 240 724.0 255 724.0 270 724.0 285 724.0 300 724.0 315 724.0 330 724.0 345 724.0 360 724.0 375 724.0 390 724.0 405 728.0 420 728.0 435 728.0 450 728.0 465 728.0 480 728.0 495 728.0 510 728.0 525 762.0 540 762.0 555 762.0 570 762.0 585 762.0 600 762.0 615 762.0 630 762.0 645 762.0 660 762.0 675 762.0 690 762.0 705 762.0 720 762.0 735 762.0 750 762.0 765 762.0 780 762.0 795 762.0 810 762.0 825 762.0 840 762.0 855 762.0 870 776.0 885 776.0 900 776.0 915 776.0 930 776.0 945 776.0 960 776.0 975 776.0 990 776.0 1005 776.0 1020 776.0 1035 776.0 1050 776.0 1065 776.0 1080 776.0 1095 776.0 1110 776.0 1125 776.0 1140 776.0 1155 776.0 1170 776.0 1185 776.0 1200 776.0 1215 776.0 1230 776.0 1245 776.0 1260 776.0 1275 776.0 1290 796.0 1305 796.0 1320 796.0 
0 732.0 15 732.0 30 732.0 45 732.0 60 732.0 75 732.0 90 732.0 105 769.0 120 769.0 135 769.0 150 769.0 165 769.0 180 769.0 195 786.0 210 786.0 225 786.0 240 786.0 255 786.0 270 786.0 285 786.0 300 786.0 315 786.0 330 786.0 345 786.0 360 786.0 375 786.0 390 786.0 405 786.0 420 786.0 435 786.0 450 786.0 465 786.0 480 786.0 495 786.0 510 786.0 525 786.0 540 786.0 555 786.0 570 786.0 585 786.0 600 786.0 615 786.0 630 792.0 645 792.0 660 792.0 675 792.0 690 792.0 705 793.0 720 793.0 735 793.0 750 793.0 765 793.0 780 793.0 795 793.0 810 793.0 825 793.0 840 793.0 855 793.0 870 801.0 885 801.0 900 801.0 915 801.0 930 801.0 945 801.0 960 801.0 975 801.0 990 801.0 1005 801.0 1020 801.0 1035 801.0 1050 801.0 1065 801.0 1080 801.0 1095 801.0 1110 801.0 1125 801.0 1140 801.0 1155 801.0 1170 801.0 1185 801.0 1200 801.0 1215 801.0 1230 801.0 1245 801.0 1260 801.0 1275 848.0 1290 848.0 1305 848.0 1320 848.0 
0 630.0 15 640.0 30 672.0 45 672.0 60 691.0 75 691.0 90 692.0 105 692.0 120 727.0 135 727.0 150 727.0 165 727.0 180 727.0 195 729.0 210 729.0 225 729.0 240 730.0 255 798.0 270 798.0 285 798.0 300 798.0 315 798.0 330 798.0 345 798.0 360 798.0 375 798.0 390 798.0 405 798.0 420 798.0 435 798.0 450 798.0 465 798.0 480 798.0 495 798.0 510 798.0 525 798.0 540 798.0 555 798.0 570 798.0 585 798.0 600 798.0 615 798.0 630 798.0 645 798.0 660 798.0 675 798.0 690 798.0 705 798.0 720 798.0 735 798.0 750 798.0 765 798.0 780 801.0 795 801.0 810 801.0 825 801.0 840 801.0 855 801.0 870 801.0 885 801.0 900 801.0 915 801.0 930 801.0 945 801.0 960 801.0 975 801.0 990 801.0 1005 801.0 1020 801.0 1035 802.0 1050 802.0 1065 802.0 1080 812.0 1095 812.0 1110 812.0 1125 812.0 1140 812.0 1155 812.0 1170 812.0 1185 812.0 1200 812.0 1215 812.0 1230 812.0 1245 812.0 1260 812.0 1275 812.0 1290 812.0 1305 812.0 1320 812.0 
0 680.0 15 680.0 30 697.0 45 697.0 60 697.0 75 697.0 90 697.0 105 697.0 120 697.0 135 718.0 150 718.0 165 718.0 180 718.0 195 718.0 210 718.0 225 718.0 240 718.0 255 718.0 270 718.0 285 718.0 300 718.0 315 718.0 330 724.0 345 724.0 360 750.0 375 750.0 390 750.0 405 750.0 420 750.0 435 764.0 450 764.0 465 764.0 480 764.0 495 764.0 510 772.0 525 772.0 540 772.0 555 772.0 570 772.0 585 772.0 600 772.0 615 772.0 630 772.0 645 772.0 660 772.0 675 772.0 690 772.0 705 772.0 720 772.0 735 772.0 750 772.0 765 772.0 780 772.0 795 772.0 810 772.0 825 772.0 840 772.0 855 772.0 870 772.0 885 772.0 900 772.0 915 782.0 930 782.0 945 782.0 960 782.0 975 782.0 990 782.0 1005 782.0 1020 782.0 1035 782.0 1050 782.0 1065 782.0 1080 782.0 1095 782.0 1110 782.0 1125 782.0 1140 782.0 1155 782.0 1170 782.0 1185 782.0 1200 782.0 1215 782.0 1230 788.0 1245 788.0 1260 788.0 1275 788.0 1290 788.0 1305 788.0 1320 788.0 
0 659.0 15 716.0 30 716.0 45 716.0 60 716.0 75 716.0 90 716.0 105 716.0 120 716.0 135 716.0 150 716.0 165 716.0 180 716.0 195 716.0 210 716.0 225 716.0 240 716.0 255 716.0 270 716.0 285 717.0 300 721.0 315 721.0 330 721.0 345 731.0 360 731.0 375 731.0 390 731.0 405 731.0 420 731.0 435 731.0 450 731.0 465 746.0 480 746.0 495 746.0 510 770.0 525 770.0 540 770.0 555 770.0 570 786.0 585 786.0 600 786.0 615 786.0 630 786.0 645 786.0 660 786.0 675 786.0 690 786.0 705 786.0 720 786.0 735 786.0 750 786.0 765 786.0 780 786.0 795 786.0 810 786.0 825 786.0 840 786.0 855 786.0 870 786.0 885 786.0 900 786.0 915 786.0 930 786.0 945 786.0 960 786.0 975 786.0 990 786.0 1005 786.0 1020 786.0 1035 786.0 1050 786.0 1065 786.0 1080 786.0 1095 786.0 1110 786.0 1125 786.0 1140 786.0 1155 806.0 1170 806.0 1185 806.0 1200 806.0 1215 806.0 1230 806.0 1245 806.0 1260 806.0 1275 806.0 1290 806.0 1305 806.0 1320 806.0 
0 668.0 15 668.0 30 668.0 45 687.0 60 687.0 75 693.0 90 723.0 105 723.0 120 723.0 135 723.0 150 723.0 165 723.0 180 723.0 195 723.0 210 723.0 225 727.0 240 727.0 255 727.0 270 727.0 285 762.0 300 762.0 315 762.0 330 762.0 345 762.0 360 762.0 375 762.0 390 779.0 405 779.0 420 779.0 435 779.0 450 779.0 465 779.0 480 779.0 495 779.0 510 779.0 525 779.0 540 779.0 555 779.0 570 779.0 585 779.0 600 779.0 615 779.0 630 779.0 645 779.0 660 779.0 675 800.0 690 800.0 705 800.0 720 800.0 735 803.0 750 803.0 765 803.0 780 803.0 795 803.0 810 803.0 825 803.0 840 805.0 855 805.0 870 805.0 885 805.0 900 805.0 915 805.0 930 805.0 945 805.0 960 805.0 975 805.0 990 805.0 1005 805.0 1020 805.0 1035 805.0 1050 805.0 1065 805.0 1080 805.0 1095 805.0 1110 805.0 1125 805.0 1140 805.0 1155 805.0 1170 805.0 1185 805.0 1200 805.0 1215 805.0 1230 805.0 1245 805.0 1260 805.0 1275 805.0 1290 805.0 1305 805.0 1320 805.0 
0 747.0 15 747.0 30 747.0 45 747.0 60 747.0 75 747.0 90 749.0 105 749.0 120 761.0 135 761.0 150 761.0 165 761.0 180 761.0 195 761.0 210 761.0 225 761.0 240 770.0 255 770.0 270 770.0 285 770.0 300 770.0 315 770.0 330 770.0 345 770.0 360 770.0 375 770.0 390 770.0 405 770.0 420 770.0 435 770.0 450 770.0 465 774.0 480 774.0 495 778.0 510 778.0 525 778.0 540 778.0 555 778.0 570 778.0 585 778.0 600 793.0 615 793.0 630 793.0 645 793.0 660 793.0 675 825.0 690 825.0 705 825.0 720 825.0 735 825.0 750 825.0 765 825.0 780 825.0 795 825.0 810 825.0 825 825.0 840 825.0 855 825.0 870 825.0 885 825.0 900 825.0 915 825.0 930 825.0 945 825.0 960 825.0 975 825.0 990 825.0 1005 825.0 1020 825.0 1035 825.0 1050 825.0 1065 825.0 1080 825.0 1095 825.0 1110 825.0 1125 825.0 1140 825.0 1155 825.0 1170 825.0 1185 825.0 1200 825.0 1215 825.0 1230 825.0 1245 825.0 1260 825.0 1275 825.0 1290 825.0 1305 825.0 1320 825.0 
0 753.0 15 753.0 30 753.0 45 753.0 60 753.0 75 777.0 90 777.0 105 777.0 120 777.0 135 777.0 150 777.0 165 777.0 180 777.0 195 777.0 210 777.0 225 793.0 240 793.0 255 793.0 270 793.0 285 793.0 300 793.0 315 793.0 330 793.0 345 793.0 360 793.0 375 793.0 390 793.0 405 793.0 420 793.0 435 793.0 450 793.0 465 793.0 480 794.0 495 794.0 510 794.0 525 794.0 540 794.0 555 794.0 570 794.0 585 794.0 600 794.0 615 794.0 630 794.0 645 794.0 660 794.0 675 795.0 690 795.0 705 795.0 720 810.0 735 814.0 750 814.0 765 814.0 780 814.0 795 814.0 810 814.0 825 814.0 840 814.0 855 814.0 870 814.0 885 814.0 900 814.0 915 814.0 930 814.0 945 814.0 960 814.0 975 814.0 990 814.0 1005 814.0 1020 814.0 1035 814.0 1050 814.0 1065 814.0 1080 814.0 1095 814.0 1110 814.0 1125 814.0 1140 814.0 1155 814.0 1170 814.0 1185 814.0 1200 814.0 1215 814.0 1230 814.0 1245 814.0 1260 814.0 1275 814.0 1290 814.0 1305 814.0 1320 814.0 
0 690.0 15 690.0 30 690.0 45 690.0 60 721.0 75 721.0 90 721.0 105 721.0 120 750.0 135 750.0 150 750.0 165 750.0 180 763.0 195 763.0 210 763.0 225 763.0 240 763.0 255 763.0 270 763.0 285 763.0 300 763.0 315 763.0 330 763.0 345 763.0 360 763.0 375 763.0 390 791.0 405 804.0 420 804.0 435 804.0 450 804.0 465 804.0 480 804.0 495 804.0 510 804.0 525 804.0 540 804.0 555 804.0 570 804.0 585 804.0 600 804.0 615 804.0 630 804.0 645 804.0 660 804.0 675 804.0 690 804.0 705 804.0 720 804.0 735 804.0 750 804.0 765 804.0 780 804.0 795 804.0 810 804.0 825 804.0 840 804.0 855 804.0 870 804.0 885 804.0 900 804.0 915 804.0 930 804.0 945 807.0 960 807.0 975 807.0 990 807.0 1005 807.0 1020 807.0 1035 807.0 1050 807.0 1065 807.0 1080 807.0 1095 807.0 1110 807.0 1125 807.0 1140 807.0 1155 807.0 1170 807.0 1185 807.0 1200 807.0 1215 807.0 1230 807.0 1245 807.0 1260 807.0 1275 807.0 1290 807.0 1305 807.0 1320 807.0 
0 726.0 15 726.0 30 726.0 45 726.0 60 726.0 75 726.0 90 726.0 105 726.0 120 726.0 135 747.0 150 747.0 165 747.0 180 760.0 195 760.0 210 760.0 225 760.0 240 760.0 255 761.0 270 761.0 285 785.0 300 785.0 315 785.0 330 785.0 345 785.0 360 785.0 375 785.0 390 785.0 405 785.0 420 785.0 435 785.0 450 785.0 465 785.0 480 785.0 495 785.0 510 785.0 525 785.0 540 801.0 555 801.0 570 801.0 585 801.0 600 801.0 615 808.0 630 808.0 645 808.0 660 808.0 675 808.0 690 808.0 705 808.0 720 808.0 735 808.0 750 808.0 765 808.0 780 808.0 795 808.0 810 808.0 825 808.0 840 808.0 855 808.0 870 808.0 885 808.0 900 808.0 915 808.0 930 808.0 945 808.0 960 808.0 975 808.0 990 808.0 1005 808.0 1020 808.0 1035 808.0 1050 808.0 1065 808.0 1080 808.0 1095 808.0 1110 808.0 1125 808.0 1140 808.0 1155 808.0 1170 808.0 1185 808.0 1200 808.0 1215 808.0 1230 808.0 1245 808.0 1260 808.0 1275 808.0 1290 808.0 1305 808.0 1320 808.0 
